=== ViT-style Transformer, param-matched (compiled) ===
L=   196  it/s= 144.36  peak_mem=  0.12 GB
L=   256  it/s= 151.66  peak_mem=  0.12 GB
L=   320  it/s= 151.25  peak_mem=  0.12 GB
L=   392  it/s= 161.69  peak_mem=  0.12 GB
L=   512  it/s= 145.54  peak_mem=  0.12 GB
L=   640  it/s= 137.87  peak_mem=  0.12 GB
L=   784  it/s= 159.40  peak_mem=  0.12 GB
L=  1024  it/s= 158.78  peak_mem=  0.12 GB
L=  1568  it/s= 148.85  peak_mem=  0.13 GB
L=  3136  it/s=  82.89  peak_mem=  0.13 GB
L=  6272  it/s=  35.55  peak_mem=  0.13 GB
=== Jamba single-graph compile (custom-op registered) ===
L=   196  it/s= 133.66  peak_mem=  0.12 GB
L=   256  it/s= 120.74  peak_mem=  0.12 GB
L=   320  it/s= 131.75  peak_mem=  0.12 GB
L=   392  it/s= 129.89  peak_mem=  0.12 GB
L=   512  it/s= 136.98  peak_mem=  0.12 GB
L=   640  it/s= 135.20  peak_mem=  0.12 GB
L=   784  it/s= 126.31  peak_mem=  0.12 GB
L=  1024  it/s= 126.49  peak_mem=  0.12 GB
L=  1568  it/s= 132.11  peak_mem=  0.12 GB
L=  3136  it/s=  82.03  peak_mem=  0.12 GB
L=  6272  it/s=  44.80  peak_mem=  0.13 GB
=== Jamba surgical compile (previous best) ===
L=   196  it/s=  21.51  peak_mem=  0.12 GB
L=   256  it/s=  22.24  peak_mem=  0.12 GB
L=   320  it/s=  21.78  peak_mem=  0.12 GB
L=   392  it/s=  21.68  peak_mem=  0.12 GB
L=   512  it/s=  21.50  peak_mem=  0.12 GB
L=   640  it/s=  21.21  peak_mem=  0.12 GB
L=   784  it/s=  21.36  peak_mem=  0.13 GB
L=  1024  it/s=  21.42  peak_mem=  0.14 GB
L=  1568  it/s=  22.07  peak_mem=  0.16 GB
L=  3136  it/s=  22.10  peak_mem=  0.22 GB
L=  6272  it/s=  21.53  peak_mem=  0.34 GB
