=== Jamba single-graph compile (custom-op registered) ===
L=   196  it/s=  43.54  peak_mem=  0.03 GB
L=   256  it/s=  42.01  peak_mem=  0.03 GB
L=   320  it/s=  42.84  peak_mem=  0.03 GB
L=   392  it/s=  42.23  peak_mem=  0.03 GB
L=   512  it/s=  41.13  peak_mem=  0.03 GB
L=   640  it/s=  43.20  peak_mem=  0.03 GB
L=   784  it/s=  41.83  peak_mem=  0.03 GB
L=  1024  it/s=  42.33  peak_mem=  0.03 GB
L=  1568  it/s=  42.99  peak_mem=  0.03 GB
L=  3136  it/s=  43.29  peak_mem=  0.04 GB
L=  6272  it/s=  42.68  peak_mem=  0.05 GB
L= 12544  it/s=  25.55  peak_mem=  0.08 GB
=== Jamba surgical compile (previous best) ===
L=   196  it/s=  29.10  peak_mem=  0.03 GB
L=   256  it/s=  29.08  peak_mem=  0.03 GB
L=   320  it/s=  28.65  peak_mem=  0.04 GB
L=   392  it/s=  27.54  peak_mem=  0.04 GB
L=   512  it/s=  28.27  peak_mem=  0.04 GB
L=   640  it/s=  29.02  peak_mem=  0.04 GB
L=   784  it/s=  28.92  peak_mem=  0.05 GB
L=  1024  it/s=  29.19  peak_mem=  0.06 GB
L=  1568  it/s=  28.72  peak_mem=  0.07 GB
L=  3136  it/s=  28.33  peak_mem=  0.12 GB
L=  6272  it/s=  28.55  peak_mem=  0.21 GB
L= 12544  it/s=  23.17  peak_mem=  0.40 GB
=== ViT-style Transformer, PARAMETER-MATCHED (compiled) ===
L=   196  it/s= 299.48  peak_mem=  0.10 GB
L=   256  it/s= 292.11  peak_mem=  0.08 GB
L=   320  it/s= 295.28  peak_mem=  0.06 GB
L=   392  it/s= 290.68  peak_mem=  0.04 GB
L=   512  it/s= 285.88  peak_mem=  0.04 GB
L=   640  it/s= 270.34  peak_mem=  0.05 GB
L=   784  it/s= 241.10  peak_mem=  0.05 GB
L=  1024  it/s= 225.13  peak_mem=  0.05 GB
L=  1568  it/s= 180.09  peak_mem=  0.05 GB
L=  3136  it/s=  88.22  peak_mem=  0.05 GB
L=  6272  it/s=  37.30  peak_mem=  0.07 GB
L= 12544  it/s=  11.02  peak_mem=  0.09 GB
